anime_id,name,genre,type,rating,content
245,Great Teacher Onizuka,Comedy  Drama  School  Shounen  Slice of Life,TV,8.77,Great Teacher Onizuka Comedy  Drama  School  Shounen  Slice of Life TV
32983,Natsume Yuujinchou Go,Drama  Fantasy  Shoujo  Slice of Life  Supernatural,TV,8.76,Natsume Yuujinchou Go Drama  Fantasy  Shoujo  Slice of Life  Supernatural TV
5258,Hajime no Ippo: New Challenger,Comedy  Drama  Shounen  Sports,TV,8.75,Hajime no Ippo: New Challenger Comedy  Drama  Shounen  Sports TV
28957,Mushishi Zoku Shou: Suzu no Shizuku,Adventure  Fantasy  Historical  Mystery  Seinen  Slice of Life  Supernatural,Movie,8.75,Mushishi Zoku Shou: Suzu no Shizuku Adventure  Fantasy  Historical  Mystery  Seinen  Slice of Life  Supernatural Movie
11665,Natsume Yuujinchou Shi,Drama  Fantasy  Shoujo  Slice of Life  Supernatural,TV,8.75,Natsume Yuujinchou Shi Drama  Fantasy  Shoujo  Slice of Life  Supernatural TV
431,Howl no Ugoku Shiro,Adventure  Drama  Fantasy  Romance,Movie,8.74,Howl no Ugoku Shiro Adventure  Drama  Fantasy  Romance Movie
11741,Fate/Zero 2nd Season,Action  Fantasy  Supernatural  Thriller,TV,8.73,Fate/Zero 2nd Season Action  Fantasy  Supernatural  Thriller TV
31757,Kizumonogatari II: Nekketsu-hen,Action  Mystery  Supernatural  Vampire,Movie,8.73,Kizumonogatari II: Nekketsu-hen Action  Mystery  Supernatural  Vampire Movie
19,Monster,Drama  Horror  Mystery  Police  Psychological  Seinen  Thriller,TV,8.72,Monster Drama  Horror  Mystery  Police  Psychological  Seinen  Thriller TV
12365,Bakuman. 3rd Season,Comedy  Drama  Romance  Shounen,TV,8.71,Bakuman. 3rd Season Comedy  Drama  Romance  Shounen TV
1535,Death Note,Mystery  Police  Psychological  Supernatural  Thriller,TV,8.71,Death Note Mystery  Police  Psychological  Supernatural  Thriller TV
32366,Gintama°: Aizome Kaori-hen,Comedy  Parody,OVA,8.69,Gintama°: Aizome Kaori-hen Comedy  Parody OVA
30654,Ansatsu Kyoushitsu (TV) 2nd Season,Action  Comedy  School  Shounen,TV,8.68,Ansatsu Kyoushitsu (TV) 2nd Season Action  Comedy  School  Shounen TV
20583,Haikyuu!!,Comedy  Drama  School  Shounen  Sports,TV,8.68,Haikyuu!! Comedy  Drama  School  Shounen  Sports TV
19647,Hajime no Ippo: Rising,Comedy  Drama  Shounen  Sports,TV,8.68,Hajime no Ippo: Rising Comedy  Drama  Shounen  Sports TV
4282,Kara no Kyoukai 5: Mujun Rasen,Action  Drama  Mystery  Romance  Supernatural  Thriller,Movie,8.68,Kara no Kyoukai 5: Mujun Rasen Action  Drama  Mystery  Romance  Supernatural  Thriller Movie
10379,Natsume Yuujinchou San,Drama  Fantasy  Shoujo  Slice of Life  Supernatural,TV,8.67,Natsume Yuujinchou San Drama  Fantasy  Shoujo  Slice of Life  Supernatural TV
22135,Ping Pong The Animation,Psychological  Seinen  Sports,TV,8.67,Ping Pong The Animation Psychological  Seinen  Sports TV
21329,Mushishi Special: Hihamukage,Adventure  Fantasy  Historical  Mystery  Seinen  Slice of Life  Supernatural,Special,8.66,Mushishi Special: Hihamukage Adventure  Fantasy  Historical  Mystery  Seinen  Slice of Life  Supernatural Special
31043,Boku dake ga Inai Machi,Mystery  Psychological  Seinen  Supernatural,TV,8.65,Boku dake ga Inai Machi Mystery  Psychological  Seinen  Supernatural TV
7785,Yojouhan Shinwa Taikei,Mystery  Psychological  Romance,TV,8.65,Yojouhan Shinwa Taikei Mystery  Psychological  Romance TV
3297,Aria The Origination,Fantasy  Sci-Fi  Shounen  Slice of Life,TV,8.64,Aria The Origination Fantasy  Sci-Fi  Shounen  Slice of Life TV
30709,Kamisama Hajimemashita: Kako-hen,Comedy  Demons  Fantasy  Shoujo  Supernatural,OVA,8.64,Kamisama Hajimemashita: Kako-hen Comedy  Demons  Fantasy  Shoujo  Supernatural OVA
6114,Rainbow: Nisha Rokubou no Shichinin,Drama  Historical  Seinen  Thriller,TV,8.64,Rainbow: Nisha Rokubou no Shichinin Drama  Historical  Seinen  Thriller TV
31240,Re:Zero kara Hajimeru Isekai Seikatsu,Drama  Fantasy  Psychological  Thriller,TV,8.64,Re:Zero kara Hajimeru Isekai Seikatsu Drama  Fantasy  Psychological  Thriller TV
4565,Tengen Toppa Gurren Lagann Movie: Lagann-hen,Action  Mecha  Sci-Fi  Space  Super Power,Movie,8.64,Tengen Toppa Gurren Lagann Movie: Lagann-hen Action  Mecha  Sci-Fi  Space  Super Power Movie
5300,Zoku Natsume Yuujinchou,Drama  Fantasy  Shoujo  Slice of Life  Supernatural,TV,8.64,Zoku Natsume Yuujinchou Drama  Fantasy  Shoujo  Slice of Life  Supernatural TV
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Drama  Slice of Life  Supernatural,TV,8.62,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Drama  Slice of Life  Supernatural TV
24415,Kuroko no Basket 3rd Season,Comedy  School  Shounen  Sports,TV,8.62,Kuroko no Basket 3rd Season Comedy  School  Shounen  Sports TV
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Sci-Fi  Thriller,Movie,8.61,Steins;Gate Movie: Fuka Ryouiki no Déjà vu Sci-Fi  Thriller Movie
10408,Hotarubi no Mori e,Drama  Romance  Shoujo  Supernatural,Movie,8.61,Hotarubi no Mori e Drama  Romance  Shoujo  Supernatural Movie
28171,Shokugeki no Souma,Ecchi  School  Shounen,TV,8.61,Shokugeki no Souma Ecchi  School  Shounen TV
32995,Yuri!!! on Ice,Comedy  Sports,TV,8.61,Yuri!!! on Ice Comedy  Sports TV
21899,Gintama: Yorinuki Gintama-san on Theater 2D,Action  Comedy  Historical  Parody  Samurai  Sci-Fi  Shounen,Movie,8.6,Gintama: Yorinuki Gintama-san on Theater 2D Action  Comedy  Historical  Parody  Samurai  Sci-Fi  Shounen Movie
26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,Action  Adventure  Drama  Shounen  Supernatural,TV,8.6,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season Action  Adventure  Drama  Shounen  Supernatural TV
7472,Gintama Movie: Shinyaku Benizakura-hen,Action  Comedy  Historical  Parody  Samurai  Sci-Fi  Shounen,Movie,8.59,Gintama Movie: Shinyaku Benizakura-hen Action  Comedy  Historical  Parody  Samurai  Sci-Fi  Shounen Movie
777,Hellsing Ultimate,Action  Horror  Military  Seinen  Supernatural  Vampire,OVA,8.59,Hellsing Ultimate Action  Horror  Military  Seinen  Supernatural  Vampire OVA
22535,Kiseijuu: Sei no Kakuritsu,Action  Drama  Horror  Psychological  Sci-Fi  Seinen,TV,8.59,Kiseijuu: Sei no Kakuritsu Action  Drama  Horror  Psychological  Sci-Fi  Seinen TV
28735,Shouwa Genroku Rakugo Shinjuu,Drama  Historical  Josei,TV,8.59,Shouwa Genroku Rakugo Shinjuu Drama  Historical  Josei TV
12431,Uchuu Kyoudai,Comedy  Sci-Fi  Seinen  Slice of Life  Space,TV,8.59,Uchuu Kyoudai Comedy  Sci-Fi  Seinen  Slice of Life  Space TV
28805,Bakemono no Ko,Adventure  Supernatural,Movie,8.58,Bakemono no Ko Adventure  Supernatural Movie
578,Hotaru no Haka,Drama  Historical,Movie,8.58,Hotaru no Haka Drama  Historical Movie
16894,Kuroko no Basket 2nd Season,Comedy  School  Shounen  Sports,TV,8.58,Kuroko no Basket 2nd Season Comedy  School  Shounen  Sports TV
5028,Major S5,Comedy  Drama  Romance  Sports,TV,8.58,Major S5 Comedy  Drama  Romance  Sports TV
21,One Piece,Action  Adventure  Comedy  Drama  Fantasy  Shounen  Super Power,TV,8.58,One Piece Action  Adventure  Comedy  Drama  Fantasy  Shounen  Super Power TV
801,Ghost in the Shell: Stand Alone Complex 2nd GIG,Action  Mecha  Military  Mystery  Police  Sci-Fi  Seinen,TV,8.57,Ghost in the Shell: Stand Alone Complex 2nd GIG Action  Mecha  Military  Mystery  Police  Sci-Fi  Seinen TV
31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,Action  Adventure  Comedy  Drama  Shounen  Supernatural,TV,8.57,JoJo no Kimyou na Bouken: Diamond wa Kudakenai Action  Adventure  Comedy  Drama  Shounen  Supernatural TV
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),Action  Mystery  Romance  Supernatural  Thriller,Movie,8.57,Kara no Kyoukai 7: Satsujin Kousatsu (Kou) Action  Mystery  Romance  Supernatural  Thriller Movie
17389,Kingdom 2nd Season,Action  Historical  Military  Seinen,TV,8.57,Kingdom 2nd Season Action  Historical  Military  Seinen TV
170,Slam Dunk,Comedy  Drama  School  Shounen  Sports,TV,8.56,Slam Dunk Comedy  Drama  School  Shounen  Sports TV
10162,Usagi Drop,Josei  Slice of Life,TV,8.56,Usagi Drop Josei  Slice of Life TV
18617,Girls und Panzer der Film,Military  School,Movie,8.55,Girls und Panzer der Film Military  School Movie
32182,Mob Psycho 100,Action  Comedy  Slice of Life  Supernatural,TV,8.55,Mob Psycho 100 Action  Comedy  Slice of Life  Supernatural TV
877,Nana,Comedy  Drama  Music  Romance  Shoujo  Slice of Life,TV,8.55,Nana Comedy  Drama  Music  Romance  Shoujo  Slice of Life TV
2251,Baccano!,Action  Comedy  Historical  Mystery  Seinen  Supernatural,TV,8.54,Baccano! Action  Comedy  Historical  Mystery  Seinen  Supernatural TV
24687,Mushishi Zoku Shou: Odoro no Michi,Adventure  Fantasy  Historical  Mystery  Seinen  Slice of Life  Supernatural,Special,8.54,Mushishi Zoku Shou: Odoro no Michi Adventure  Fantasy  Historical  Mystery  Seinen  Slice of Life  Supernatural Special
16498,Shingeki no Kyojin,Action  Drama  Fantasy  Shounen  Super Power,TV,8.54,Shingeki no Kyojin Action  Drama  Fantasy  Shounen  Super Power TV
10030,Bakuman. 2nd Season,Comedy  Drama  Romance  Shounen,TV,8.53,Bakuman. 2nd Season Comedy  Drama  Romance  Shounen TV
5941,Cross Game,Comedy  Drama  Romance  School  Sports,TV,8.53,Cross Game Comedy  Drama  Romance  School  Sports TV
30346,Doukyuusei (Movie),Romance  School  Shounen Ai  Slice of Life,Movie,8.53,Doukyuusei (Movie) Romance  School  Shounen Ai  Slice of Life Movie
3784,Evangelion: 2.0 You Can (Not) Advance,Action  Mecha  Sci-Fi,Movie,8.53,Evangelion: 2.0 You Can (Not) Advance Action  Mecha  Sci-Fi Movie
13125,Shinsekai yori,Drama  Horror  Mystery  Sci-Fi  Supernatural,TV,8.53,Shinsekai yori Drama  Horror  Mystery  Sci-Fi  Supernatural TV
12029,Uchuu Senkan Yamato 2199,Action  Drama  Military  Sci-Fi  Space,OVA,8.53,Uchuu Senkan Yamato 2199 Action  Drama  Military  Sci-Fi  Space OVA
14397,Chihayafuru 2,Drama  Game  Josei  Slice of Life  Sports,TV,8.52,Chihayafuru 2 Drama  Game  Josei  Slice of Life  Sports TV
10087,Fate/Zero,Action  Fantasy  Supernatural,TV,8.51,Fate/Zero Action  Fantasy  Supernatural TV
14719,JoJo no Kimyou na Bouken (TV),Action  Adventure  Shounen  Supernatural  Vampire,TV,8.51,JoJo no Kimyou na Bouken (TV) Action  Adventure  Shounen  Supernatural  Vampire TV
9756,Mahou Shoujo Madoka★Magica,Drama  Magic  Psychological  Thriller,TV,8.51,Mahou Shoujo Madoka★Magica Drama  Magic  Psychological  Thriller TV
10165,Nichijou,Comedy  School  Slice of Life,TV,8.52,Nichijou Comedy  School  Slice of Life TV
13601,Psycho-Pass,Action  Police  Psychological  Sci-Fi,TV,8.5,Psycho-Pass Action  Police  Psychological  Sci-Fi TV
22789,Barakamon,Comedy  Slice of Life,TV,8.5,Barakamon Comedy  Slice of Life TV
30230,Diamond no Ace: Second Season,Comedy  School  Shounen  Sports,TV,8.5,Diamond no Ace: Second Season Comedy  School  Shounen  Sports TV
18115,Magi: The Kingdom of Magic,Action  Adventure  Fantasy  Magic  Shounen,TV,8.5,Magi: The Kingdom of Magic Action  Adventure  Fantasy  Magic  Shounen TV
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Drama  Magic  Psychological  Thriller,Movie,8.5,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari Drama  Magic  Psychological  Thriller Movie
11917,Major: World Series,Comedy  Drama  Sports,OVA,8.5,Major: World Series Comedy  Drama  Sports OVA
205,Samurai Champloo,Action  Adventure  Comedy  Historical  Samurai  Shounen,TV,8.5,Samurai Champloo Action  Adventure  Comedy  Historical  Samurai  Shounen TV
32282,Shokugeki no Souma: Ni no Sara,Ecchi  School  Shounen,TV,8.5,Shokugeki no Souma: Ni no Sara Ecchi  School  Shounen TV
6594,Katanagatari,Action  Adventure  Historical  Martial Arts  Romance,TV,8.49,Katanagatari Action  Adventure  Historical  Martial Arts  Romance TV
11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Drama  Magic  Psychological  Thriller,Movie,8.49,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari Drama  Magic  Psychological  Thriller Movie
7655,Major S6,Comedy  Drama  Sports,TV,8.49,Major S6 Comedy  Drama  Sports TV
2246,Mononoke,Demons  Fantasy  Historical  Horror  Mystery  Seinen  Supernatural,TV,8.49,Mononoke Demons  Fantasy  Historical  Horror  Mystery  Seinen  Supernatural TV
25835,Shirobako,Comedy  Drama,TV,8.49,Shirobako Comedy  Drama TV
2921,Ashita no Joe 2,Drama  Sports,TV,8.48,Ashita no Joe 2 Drama  Sports TV
136,Hunter x Hunter,Action  Adventure  Shounen  Super Power,TV,8.48,Hunter x Hunter Action  Adventure  Shounen  Super Power TV
30503,Noragami Aragoto,Action  Adventure  Shounen  Supernatural,TV,8.48,Noragami Aragoto Action  Adventure  Shounen  Supernatural TV
12531,Sakamichi no Apollon,Drama  Josei  Music  Romance  School,TV,8.48,Sakamichi no Apollon Drama  Josei  Music  Romance  School TV
523,Tonari no Totoro,Adventure  Comedy  Supernatural,Movie,8.48,Tonari no Totoro Adventure  Comedy  Supernatural Movie
467,Ghost in the Shell: Stand Alone Complex,Action  Mecha  Military  Police  Sci-Fi  Seinen,TV,8.47,Ghost in the Shell: Stand Alone Complex Action  Mecha  Military  Police  Sci-Fi  Seinen TV
572,Kaze no Tani no Nausicaä,Adventure  Fantasy,Movie,8.47,Kaze no Tani no Nausicaä Adventure  Fantasy Movie
19815,No Game No Life,Adventure  Comedy  Ecchi  Fantasy  Game  Supernatural,TV,8.47,No Game No Life Adventure  Comedy  Ecchi  Fantasy  Game  Supernatural TV
2559,Romeo no Aoi Sora,Adventure  Drama  Historical  Slice of Life,TV,8.47,Romeo no Aoi Sora Adventure  Drama  Historical  Slice of Life TV
392,Yuu☆Yuu☆Hakusho,Action  Comedy  Demons  Fantasy  Martial Arts  School  Shounen,TV,8.47,Yuu☆Yuu☆Hakusho Action  Comedy  Demons  Fantasy  Martial Arts  School  Shounen TV
486,Kino no Tabi: The Beautiful World,Action  Adventure  Slice of Life,TV,8.46,Kino no Tabi: The Beautiful World Action  Adventure  Slice of Life TV
11771,Kuroko no Basket,Comedy  School  Shounen  Sports,TV,8.46,Kuroko no Basket Comedy  School  Shounen  Sports TV
1698,Nodame Cantabile,Comedy  Drama  Josei  Music  Romance  Slice of Life,TV,8.46,Nodame Cantabile Comedy  Drama  Josei  Music  Romance  Slice of Life TV
5341,Ookami to Koushinryou II,Adventure  Fantasy  Historical  Romance,TV,8.46,Ookami to Koushinryou II Adventure  Fantasy  Historical  Romance TV
25781,Shingeki no Kyojin: Kuinaki Sentaku,Action  Fantasy  Shoujo  Supernatural,OVA,8.45,Shingeki no Kyojin: Kuinaki Sentaku Action  Fantasy  Shoujo  Supernatural OVA
10863,Steins;Gate: Oukoubakko no Poriomania,Sci-Fi  Thriller,Special,8.46,Steins;Gate: Oukoubakko no Poriomania Sci-Fi  Thriller Special
28701,Fate/stay night: Unlimited Blade Works 2nd Season,Action  Fantasy  Magic  Shounen  Supernatural,TV,8.45,Fate/stay night: Unlimited Blade Works 2nd Season Action  Fantasy  Magic  Shounen  Supernatural TV
5420,Kemono no Souja Erin,Drama  Fantasy,TV,8.45,Kemono no Souja Erin Drama  Fantasy TV
9260,Kizumonogatari I: Tekketsu-hen,Mystery  Supernatural  Vampire,Movie,8.45,Kizumonogatari I: Tekketsu-hen Mystery  Supernatural  Vampire Movie
32,Neon Genesis Evangelion: The End of Evangelion,Dementia  Drama  Mecha  Psychological  Sci-Fi,Movie,8.45,Neon Genesis Evangelion: The End of Evangelion Dementia  Drama  Mecha  Psychological  Sci-Fi Movie
4224,Toradora!,Comedy  Romance  School  Slice of Life,TV,8.45,Toradora! Comedy  Romance  School  Slice of Life TV
2236,Toki wo Kakeru Shoujo,Adventure  Drama  Romance  Sci-Fi,Movie,8.44,Toki wo Kakeru Shoujo Adventure  Drama  Romance  Sci-Fi Movie
2685,Tsubasa: Tokyo Revelations,Action  Adventure  Drama  Fantasy  Romance  Shounen,OVA,8.44,Tsubasa: Tokyo Revelations Action  Adventure  Drama  Fantasy  Romance  Shounen OVA
31181,Owarimonogatari,Comedy  Mystery  Supernatural,TV,8.43,Owarimonogatari Comedy  Mystery  Supernatural TV
45,Rurouni Kenshin: Meiji Kenkaku Romantan,Action  Adventure  Comedy  Historical  Romance  Samurai,TV,8.43,Rurouni Kenshin: Meiji Kenkaku Romantan Action  Adventure  Comedy  Historical  Romance  Samurai TV
2418,Stranger: Mukou Hadan,Action  Adventure  Historical  Samurai,Movie,8.43,Stranger: Mukou Hadan Action  Adventure  Historical  Samurai Movie
1365,Detective Conan Movie 06: The Phantom of Baker Street,Adventure  Mystery  Police  Shounen,Movie,8.42,Detective Conan Movie 06: The Phantom of Baker Street Adventure  Mystery  Police  Shounen Movie
22297,Fate/stay night: Unlimited Blade Works,Action  Fantasy  Magic  Shounen  Supernatural,TV,8.42,Fate/stay night: Unlimited Blade Works Action  Fantasy  Magic  Shounen  Supernatural TV
627,Major S1,Comedy  Drama  Shounen  Sports,TV,8.42,Major S1 Comedy  Drama  Shounen  Sports TV
10937,Mobile Suit Gundam: The Origin,Action  Mecha  Military  Sci-Fi  Shounen  Space,OVA,8.42,Mobile Suit Gundam: The Origin Action  Mecha  Military  Sci-Fi  Shounen  Space OVA
23755,Nanatsu no Taizai,Action  Adventure  Ecchi  Fantasy  Shounen  Supernatural,TV,8.42,Nanatsu no Taizai Action  Adventure  Ecchi  Fantasy  Shounen  Supernatural TV
4081,Natsume Yuujinchou,Drama  Fantasy  Shoujo  Slice of Life  Supernatural,TV,8.42,Natsume Yuujinchou Drama  Fantasy  Shoujo  Slice of Life  Supernatural TV
4155,One Piece Film: Strong World,Action  Adventure  Comedy  Drama  Fantasy  Shounen,Movie,8.42,One Piece Film: Strong World Action  Adventure  Comedy  Drama  Fantasy  Shounen Movie
1889,Higurashi no Naku Koro ni Kai,Mystery  Psychological  Supernatural  Thriller,TV,8.41,Higurashi no Naku Koro ni Kai Mystery  Psychological  Supernatural  Thriller TV
137,Hunter x Hunter OVA,Action  Adventure  Shounen  Super Power,OVA,8.41,Hunter x Hunter OVA Action  Adventure  Shounen  Super Power OVA
139,Hunter x Hunter: Greed Island Final,Action  Adventure  Shounen  Super Power,OVA,8.41,Hunter x Hunter: Greed Island Final Action  Adventure  Shounen  Super Power OVA
23317,Kuroshitsuji: Book of Murder,Comedy  Demons  Fantasy  Historical  Mystery  Shounen  Supernatural,OVA,8.41,Kuroshitsuji: Book of Murder Comedy  Demons  Fantasy  Historical  Mystery  Shounen  Supernatural OVA
558,Major S2,Comedy  Drama  Shounen  Sports,TV,8.41,Major S2 Comedy  Drama  Shounen  Sports TV
5040,One Outs,Psychological  Seinen  Sports,TV,8.41,One Outs Psychological  Seinen  Sports TV
57,Beck,Comedy  Drama  Music  Shounen  Slice of Life,TV,8.4,Beck Comedy  Drama  Music  Shounen  Slice of Life TV
33,Berserk,Action  Adventure  Demons  Drama  Fantasy  Horror  Military  Romance  Seinen  Supernatural,TV,8.4,Berserk Action  Adventure  Demons  Drama  Fantasy  Horror  Military  Romance  Seinen  Supernatural TV
5,Cowboy Bebop: Tengoku no Tobira,Action  Drama  Mystery  Sci-Fi  Space,Movie,8.4,Cowboy Bebop: Tengoku no Tobira Action  Drama  Mystery  Sci-Fi  Space Movie
1842,Major S3,Drama  Shounen  Sports,TV,8.4,Major S3 Drama  Shounen  Sports TV
6336,Mobile Suit Gundam Unicorn,Action  Drama  Mecha  Military  Sci-Fi  Space,OVA,8.4,Mobile Suit Gundam Unicorn Action  Drama  Mecha  Military  Sci-Fi  Space OVA
20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,Drama  Fantasy  Shoujo  Slice of Life  Supernatural,OVA,8.4,Natsume Yuujinchou: Itsuka Yuki no Hi ni Drama  Fantasy  Shoujo  Slice of Life  Supernatural OVA
1210,NHK ni Youkoso!,Comedy  Drama  Psychological  Romance,TV,8.4,NHK ni Youkoso! Comedy  Drama  Psychological  Romance TV
338,Rose of Versailles,Adventure  Drama  Historical  Romance  Shoujo,TV,8.4,Rose of Versailles Adventure  Drama  Historical  Romance  Shoujo TV
13759,Sakurasou no Pet na Kanojo,Comedy  Drama  Romance  School  Slice of Life,TV,8.4,Sakurasou no Pet na Kanojo Comedy  Drama  Romance  School  Slice of Life TV
6547,Angel Beats!,Action  Comedy  Drama  School  Supernatural,TV,8.39,Angel Beats! Action  Comedy  Drama  School  Supernatural TV
5081,Bakemonogatari,Mystery  Romance  Supernatural  Vampire,TV,8.39,Bakemonogatari Mystery  Romance  Supernatural  Vampire TV
32867,Bungou Stray Dogs 2nd Season,Mystery  Seinen  Supernatural,TV,8.39,Bungou Stray Dogs 2nd Season Mystery  Seinen  Supernatural TV
264,Hajime no Ippo: Champion Road,Comedy  Shounen  Sports,Special,8.39,Hajime no Ippo: Champion Road Comedy  Shounen  Sports Special
12859,One Piece Film: Z,Action  Adventure  Comedy  Drama  Fantasy  Shounen,Movie,8.39,One Piece Film: Z Action  Adventure  Comedy  Drama  Fantasy  Shounen Movie
